Source,Target,Name
QDi.423,QDe.135,ALI MAYCHOU 
QDi.423,QDe.159,ALI MAYCHOU 
TAi.051,TAi.004,ABDULHAI MOTMAEN 
QDi.272,QDe.118,MOHAMMED YAHYA MUJAHID
QDi.196,QDe.004,ALI SAYYID MUHAMED
QDi.196,QDe.003,ALI SAYYID MUHAMED
QDi.357,QDe.115,ASEEL MUTHANA 
QDi.358,QDe.115,NASSER AHMED MUTHANA
QDi.406,QDe.137,Murad Iraklievich Margoshvili
QDi.427,QDe.132,Noor Wali Mehsud
QDi.280,QDe.014,TAYEB NAIL 
CFi.008,CFi.001,EUGÈNE BARRET NGAÏKOSSET
TAi.173,TAe.014,ABDUL BASIR NOORZAI 
TAi.154,TAi.153,MALIK NOORZAI 
TAi.166,TAe.011,AHMED SHAH NOORZAI OBAIDULLAH
TAi.166,TAi.147,AHMED SHAH NOORZAI OBAIDULLAH
TAi.042,TAi.040,MOHAMMAD IBRAHIM OMARI 
QDi.314,QDe.134,ABDERRAHMANE OULD EL AMAR 
QDi.314,QDe.014,ABDERRAHMANE OULD EL AMAR 
QDi.314,QDi.136,ABDERRAHMANE OULD EL AMAR 
QDi.315,QDe.134,HAMADA OULD MOHAMED EL KHAIRY 
QDi.315,QDe.014,HAMADA OULD MOHAMED EL KHAIRY 
QDi.298,QDe.004,ABD AL-RAHMAN OULD MUHAMMAD AL-HUSAYN OULD MUHAMMAD SALIM
QDi.298,QDe.014,ABD AL-RAHMAN OULD MUHAMMAD AL-HUSAYN OULD MUHAMMAD SALIM
QDi.353,QDe.143,ALI BEN TAHER BEN FALEH
QDi.354,QDe.115,TARAK BEN TAHER BEN FALEH
QDi.354,QDe.143,TARAK BEN TAHER BEN FALEH
QDi.242,QDe.128,DINNO AMOR ROSALEJOS PAREJA
QDi.294,QDe.092,UMAR PATEK 
QDi.294,QDe.001,UMAR PATEK 
QDi.348,QDe.092,ANGGA DIMAS PERSHADA
QDi.348,QDe.147,ANGGA DIMAS PERSHADA
TAi.058,TAi.004,NOORUDDIN TURABI MUHAMMAD
QDi.271,QDe.118,ARIF QASMANI 
QDi.271,QDe.004,ARIF QASMANI 
TAi.157,TAe.012,FAZL RABI 
TAi.157,TAi.144,FAZL RABI 
TAi.157,TAi.040,FAZL RABI 
QDi.303,QDe.010,FAZAL RAHIM 
QDi.303,QDe.004,FAZAL RAHIM 
TAi.096,TAi.004,MOHAMMAD HASAN RAHMANI 
QDi.407,QDe.115,OMAN ROCHMAN 
QDi.403,QDe.115,FARED SAAL 
QDi.020,QDe.004,MOHAMMAD HAMDI MOHAMMAD
QDi.263,QDe.118,HAFIZ MUHAMMAD SAEED
YEi.005,YEi.003,AHMED ALI ABDULLAH
QDi.387,QDe.004,MOHAMMED ABDEL-HALIM HEMAIDA
QDi.244,QDe.128,HILARION DEL ROSARIO SANTOS
QDi.244,QDe.001,HILARION DEL ROSARIO SANTOS
QDi.350,QDe.092,WIJI JOKO SANTOSO
QDi.350,QDe.147,WIJI JOKO SANTOSO
TAi.011,TAi.024,AKHTAR MOHAMMAD MANSOUR
QDi.322,QDe.138,ABUBAKAR MOHAMMED SHEKAU
QDi.124,QDe.092,YAZID SUFAAT 
QDi.124,QDe.004,YAZID SUFAAT 
QDi.349,QDe.092,BAMBANG SUKIRNO 
QDi.349,QDe.147,BAMBANG SUKIRNO 
QDi.057,QDe.069,IBRAHIM ALI ABU BAKR
QDi.057,QDe.070,IBRAHIM ALI ABU BAKR
QDi.057,QDe.011,IBRAHIM ALI ABU BAKR
QDi.241,QDe.128,ANGELO RAMIREZ TRINIDAD
QDi.241,QDe.001,ANGELO RAMIREZ TRINIDAD
QDi.241,QDe.092,ANGELO RAMIREZ TRINIDAD
QDi.056,QDe.068,MOHAMMED TUFAIL 
QDi.397,QDe.137,AYRAT NASIMOVICH VAKHITOV
TAi.034,TAi.070,ABDUL JALIL HAQQANI WALI MOHAMMAD
TAi.070,TAi.034,ATIQULLAH WALI MOHAMMAD 
TAi.022,TAi.004,UBAIDULLAH AKHUND YAR MOHAMMAD AKHUND
TAi.022,TAi.149,UBAIDULLAH AKHUND YAR MOHAMMAD AKHUND
QDi.261,QDe.119,ADEM YILMAZ 
QDi.261,QDi.259,ADEM YILMAZ 
TAi.171,TAe.012,MUHAMMAD OMAR 
TAi.164,TAe.012,ABDUL RAUF ZAKIR 
TAi.164,TAi.144,ABDUL RAUF ZAKIR 
QDi.428,QDe.137,JAMAL HUSSEIN HASSAN
QDi.223,QDe.011,MERAI ABDEFATTAH KHALIL
QDi.426,QDe.115,Amir Muhammad Sa’id Abdal-Rahman
TAi.153,TAi.154,FAIZULLAH KHAN NOORZAI
QDi.289,QDe.004,SAID JAN ‘ABD AL-SALAM 
